Date,Close,High,Low,Shares_Traded,Turnover
2015-09-15,7829.1,7880.0,7799.75,140722007.0,6252.35
2015-09-16,7899.15,7913.9,7853.3,144331414.0,6650.61
2015-09-18,7981.9,8055.0,7955.85,249313429.0,11328.64
2015-09-21,7977.1,7987.9,7908.35,125628591.0,5482.45
2015-09-22,7812.0,8021.6,7787.75,173569429.0,7887.06
2015-09-23,7845.95,7882.9,7723.25,151196367.0,6869.26
2015-09-24,7868.5,7894.5,7804.1,208766516.0,9732.18
2015-09-28,7795.7,7893.95,7787.95,140480206.0,7120.05
2015-09-29,7843.3,7926.55,7691.2,248106979.0,11184.67
2015-09-30,7948.9,7957.7,7874.5,217187896.0,9981.56
2015-10-01,7950.9,8008.25,7930.65,161809883.0,8896.78
2015-10-05,8119.3,8128.9,8005.1,188830270.0,9589.63
2015-10-06,8152.9,8180.95,8096.5,184037905.0,8461.64
2015-10-07,8177.4,8188.9,8132.9,199911165.0,7894.19
2015-10-08,8129.35,8196.75,8105.85,177030502.0,7837.16
2015-10-09,8189.7,8232.2,8139.65,205859184.0,7960.62
2015-10-12,8143.6,8244.5,8128.2,205255913.0,7604.3
2015-10-13,8131.7,8150.25,8088.6,150431773.0,6877.36
2015-10-14,8107.9,8139.3,8096.35,143158108.0,6607.21
2015-10-15,8179.5,8190.55,8129.8,172429864.0,7625.17
2015-10-16,8238.15,8246.4,8147.65,161153559.0,6956.78
2015-10-19,8275.05,8283.05,8239.2,128300205.0,6880.43
2015-10-20,8261.65,8294.05,8229.2,159947752.0,7661.53
2015-10-21,8251.7,8294.4,8217.15,149270047.0,6689.35
2015-10-23,8295.45,8328.1,8280.75,156664310.0,7466.28
2015-10-26,8260.55,8336.3,8252.05,138006303.0,6799.49
2015-10-27,8232.9,8241.95,8217.05,161493491.0,8271.49
2015-10-28,8171.2,8209.1,8131.8,194708669.0,9131.44
2015-10-29,8111.75,8179.6,8098.0,224234135.0,10569.95
2015-10-30,8065.8,8146.1,8044.4,205663493.0,9218.39
2015-11-02,8050.8,8060.7,7995.6,140323983.0,6552.67
2015-11-03,8060.7,8100.35,8031.75,136625382.0,5955.64
2015-11-04,8040.2,8116.1,8027.3,125935846.0,5696.01
2015-11-05,7955.45,8031.2,7944.1,136223827.0,6001.38
2015-11-06,7954.3,8002.65,7926.15,226329409.0,8771.77
2015-11-09,7915.2,7937.75,7771.7,218422388.0,9376.17
2015-11-10,7783.35,7885.1,7772.85,170267413.0,7153.47
2015-11-11,7825.0,7847.95,7819.1,22380435.0,1123.44
2015-11-13,7762.25,7775.1,7730.9,165876819.0,7731.55
2015-11-16,7806.6,7838.85,7714.15,154134885.0,6871.15
2015-11-17,7837.55,7860.45,7793.0,149451211.0,6367.14
2015-11-18,7731.8,7843.4,7725.05,148037721.0,6112.32
2015-11-19,7842.75,7854.9,7765.45,136702518.0,7410.15
2015-11-20,7856.55,7906.95,7817.8,156610433.0,7298.01
2015-11-23,7849.25,7877.5,7825.2,130871603.0,6099.09
2015-11-24,7831.6,7870.35,7812.65,134562905.0,6686.27
2015-11-26,7883.8,7897.1,7832.0,226632193.0,11054.04
2015-11-27,7942.7,7959.3,7879.45,154863047.0,7068.72
2015-11-30,7935.25,7966.0,7922.8,223041699.0,15368.67
2015-12-01,7954.9,7972.15,7934.15,142945421.0,6796.67
2015-12-02,7931.35,7979.3,7910.8,130207404.0,6242.53
2015-12-03,7864.15,7912.3,7853.3,129628400.0,5636.41
2015-12-04,7781.9,7821.4,7775.7,157231681.0,7758.36
2015-12-07,7765.4,7825.4,7746.05,141893279.0,6403.97
2015-12-08,7701.7,7771.25,7685.45,139318392.0,5986.06
2015-12-09,7612.5,7702.85,7606.9,144315690.0,6599.6
2015-12-10,7683.3,7691.95,7610.0,145249292.0,6492.02
2015-12-11,7610.45,7703.05,7575.3,172996480.0,6894.44
2015-12-14,7650.05,7663.95,7551.05,153492615.0,6290.42
2015-12-15,7700.9,7705.0,7625.1,138479057.0,6152.14
2015-12-16,7750.9,7776.6,7715.75,159149338.0,6703.76
2015-12-17,7844.35,7852.9,7737.55,181256780.0,7367.15
2015-12-18,7761.95,7836.15,7753.35,197319843.0,8074.5
2015-12-21,7834.45,7840.75,7733.45,130174102.0,5558.38
2015-12-22,7786.1,7846.3,7776.85,129633328.0,5028.11
2015-12-23,7865.95,7871.45,7826.1,121480721.0,4663.45
2015-12-24,7861.05,7888.75,7835.5,96374245.0,3383.99
2015-12-28,7925.15,7937.2,7863.0,126737811.0,5755.48
2015-12-29,7928.95,7942.15,7902.75,116535971.0,4950.36
2015-12-30,7896.25,7944.75,7889.85,110145855.0,4392.87
2015-12-31,7946.35,7955.55,7891.15,155645098.0,6780.85
2016-01-01,7963.2,7972.55,7909.8,64843836.0,2613.91
2016-01-04,7791.3,7937.55,7781.1,138864905.0,5897.08
2016-01-05,7784.65,7831.2,7763.25,149672973.0,5948.51
2016-01-06,7741.0,7800.95,7721.2,151715828.0,6722.17
2016-01-07,7568.3,7674.95,7556.6,194732861.0,7803.21
2016-01-08,7601.35,7634.1,7581.05,162348690.0,6753.57
2016-01-11,7563.85,7605.1,7494.35,194836791.0,7327.15
2016-01-12,7510.3,7588.3,7487.8,168975973.0,7071.48
2016-01-13,7562.4,7590.95,7425.8,221908258.0,9585.17
2016-01-14,7536.8,7604.8,7443.8,206988549.0,9246.75
2016-01-15,7437.8,7566.5,7427.3,203643071.0,8279.07
2016-01-18,7351.0,7463.65,7336.4,240798183.0,8431.56
2016-01-19,7435.1,7462.75,7364.15,194068339.0,7038.84
2016-01-20,7309.3,7470.9,7241.5,232614141.0,8794.16
2016-01-21,7276.8,7398.7,7250.0,248113284.0,9401.16
2016-01-22,7422.45,7433.4,7327.6,236282061.0,7666.39
2016-01-25,7436.15,7487.15,7421.2,168202502.0,5910.99
2016-01-27,7437.75,7477.9,7419.7,193389891.0,6834.77
2016-01-28,7424.65,7468.85,7409.6,283036298.0,10049.88
2016-01-29,7563.55,7575.65,7402.8,307934042.0,11277.33
2016-02-01,7555.95,7600.45,7541.25,206645021.0,8209.5
2016-02-02,7455.55,7576.3,7428.05,237338907.0,8030.99
2016-02-03,7361.8,7419.4,7350.3,197863301.0,6748.17
2016-02-04,7404.0,7457.05,7365.95,229563364.0,7465.35
2016-02-05,7489.1,7503.15,7406.65,257518899.0,8628.24
2016-02-08,7387.25,7512.55,7363.2,176758985.0,5746.45
2016-02-09,7298.2,7323.45,7275.15,218730280.0,7415.13
2016-02-10,7215.7,7271.85,7177.75,254481339.0,8129.65
2016-02-11,6976.35,7208.65,6959.95,301302956.0,9250.27
2016-02-12,6980.95,7034.8,6869.0,344210729.0,11062.63
2016-02-15,7162.95,7182.8,7056.8,365217073.0,10204.34
2016-02-16,7048.25,7204.65,7037.7,261607451.0,7638.39
2016-02-17,7108.45,7123.7,6960.65,268017961.0,7686.32
2016-02-18,7191.75,7215.1,7127.85,254331498.0,8051.51
2016-02-19,7210.75,7226.85,7145.95,198206480.0,6156.58
2016-02-22,7234.55,7252.4,7200.7,159162842.0,5832.89
2016-02-23,7109.55,7241.7,7090.7,200396978.0,6433.16
2016-02-24,7018.7,7090.8,7009.75,205898417.0,6497.18
2016-02-25,6970.6,7034.2,6961.4,291932544.0,9090.16
2016-02-26,7029.75,7052.9,6985.1,213142575.0,6880.96
2016-02-29,6987.05,7094.6,6825.8,487969285.0,15992.15
2016-03-01,7222.3,7235.5,7035.1,283561570.0,9896.58
2016-03-02,7368.85,7380.35,7308.15,348965708.0,10983.06
2016-03-03,7475.6,7483.95,7406.05,287248532.0,9255.43
2016-03-04,7485.35,7505.9,7444.1,290441230.0,8135.06
2016-03-08,7485.3,7527.15,7442.15,264945393.0,8417.86
2016-03-09,7531.8,7539.0,7424.3,252709391.0,9036.29
2016-03-10,7486.15,7547.1,7447.4,231584305.0,8875.92
2016-03-11,7510.2,7543.95,7460.6,204806572.0,7558.55
2016-03-14,7538.75,7583.7,7515.05,172067214.0,6330.45
2016-03-15,7460.6,7545.2,7452.8,199653871.0,7577.78
2016-03-16,7498.75,7508.0,7405.15,201430035.0,7102.59
2016-03-17,7512.55,7585.3,7479.4,247043954.0,9539.89
2016-03-18,7604.35,7613.6,7517.9,244727490.0,9971.59
2016-03-21,7704.25,7713.55,7617.7,202853386.0,8381.51
2016-03-22,7714.9,7728.2,7643.8,215355848.0,8628.05
2016-03-23,7716.5,7726.85,7670.6,205794773.0,7612.54
2016-03-28,7615.1,7749.4,7587.7,249905118.0,10102.36
2016-03-29,7597.0,7652.9,7582.25,223493457.0,10474.75
2016-03-30,7735.2,7741.95,7643.45,239843751.0,9908.6
2016-03-31,7738.4,7777.6,7702.0,391914059.0,15918.74
2016-04-01,7713.05,7740.15,7666.1,189571551.0,8118.47
2016-04-04,7758.8,7764.45,7704.4,160277940.0,6506.44
2016-04-05,7603.2,7736.3,7588.65,210126897.0,8412.34
2016-04-06,7614.35,7638.65,7591.75,170653808.0,6802.69
2016-04-07,7546.45,7630.75,7535.85,241684050.0,7709.23
2016-04-08,7555.2,7569.35,7526.7,147816460.0,5981.23
2016-04-11,7671.4,7678.8,7516.85,185353268.0,7055.61
2016-04-12,7708.95,7717.4,7663.35,168508978.0,6945.44
2016-04-13,7850.45,7864.8,7772.2,227217288.0,10071.44
2016-04-18,7914.7,7920.6,7842.75,190258561.0,10356.03
2016-04-20,7914.75,7950.4,7877.55,211630060.0,10069.83
2016-04-21,7912.05,7978.45,7884.1,230577117.0,9613.3
2016-04-22,7899.3,7923.35,7873.35,188988540.0,7714.04
2016-04-25,7855.05,7911.0,7827.0,150776959.0,7362.13
2016-04-26,7962.65,7974.5,7822.55,208656803.0,9686.21
