Date,Close,High,Low,Shares_Traded,Turnover,log_return,range_volatility
2014-08-13,7739.55,7757.1,7695.7,1.5408392E8,8030.41,0.0016163866294555754,6.315197501718868E-5
2014-08-14,7791.7,7796.7,7739.1,1.27328105E8,6745.33,0.006715518195772614,5.4984679084568364E-5
2014-08-18,7874.25,7880.5,7779.2,1.26742201E8,6892.25,0.010538877508667058,1.673879236483042E-4
2014-08-19,7897.5,7918.55,7881.15,1.40615189E8,7928.8,0.0029483116130798108,2.2413368760399394E-5
2014-08-20,7875.3,7922.7,7864.05,1.17321408E8,6234.79,-0.002814974469916306,5.520959450460489E-5
2014-08-21,7891.1,7919.65,7855.95,1.15221672E8,7502.01,0.002004262899475061,6.521864999323843E-5
2014-08-22,7913.2,7929.05,7900.05,1.04074858E8,7088.03,0.0027967090481380323,1.3425934170147267E-5
2014-08-25,7906.3,7968.25,7897.95,1.18465594E8,6152.32,-8.723411533313404E-4,7.852907403791937E-5
2014-08-26,7904.75,7915.45,7862.45,1.42829732E8,6735.18,-1.960654105787061E-4,4.513532761724305E-5
2014-08-27,7936.05,7946.85,7916.55,1.19961224E8,6261.16,0.003951825758060241,1.4593308187590993E-5
2014-08-28,7954.35,7967.8,7939.2,1.89698796E8,10417.14,0.00230327846879431,1.293053313095725E-5
2014-09-01,8027.7,8035.0,7984.0,1.39328061E8,6944.65,0.009179112193328278,4.05445491478717E-5
2014-09-02,8083.05,8101.95,8036.55,1.34897503E8,7143.64,0.00687121552659829,6.568919043212627E-5
2014-09-03,8114.6,8141.9,8092.25,1.50726992E8,8444.29,0.003895631761407898,3.741468526674404E-5
2014-09-04,8095.95,8114.8,8060.9,1.41280504E8,6925.82,-0.0023009716793679943,4.441345601608766E-5
2014-09-05,8086.85,8122.7,8049.85,1.25981094E8,6559.7,-0.0011246509824220565,8.116484682974035E-5
2014-09-08,8173.9,8180.2,8126.15,1.2069439E8,6623.08,0.010706865500556604,4.394819566257061E-5
2014-09-09,8152.95,8174.55,8126.5,1.0474054E8,5364.95,-0.0025663262047620214,3.475506714907629E-5
2014-09-10,8094.1,8135.75,8082.1,1.07064326E8,5561.6,-0.007244423741990964,4.3773981882051735E-5
2014-09-11,8085.7,8127.95,8057.3,1.22818159E8,6492.35,-0.001038331840281539,7.621685365516521E-5
2014-09-12,8105.5,8114.3,8071.6,1.11444349E8,6156.73,0.0024457742316799933,2.7838385886232494E-5
2014-09-15,8042.0,8077.3,8030.0,9.6502556E7,5387.06,-0.00786503512440859,3.4493659698476276E-5
2014-09-16,7932.9,8044.9,7925.15,1.27952551E8,6647.49,-0.013659139806330059,2.249131061095047E-4
2014-09-17,7975.5,7990.65,7936.95,1.2372239E8,6689.37,0.005355673961613464,4.5468557146542334E-5
2014-09-18,8114.75,8120.85,7939.7,1.16930309E8,6891.09,0.01730905071438062,5.089237006818498E-4
2014-09-19,8121.45,8160.9,8105.35,1.61284509E8,8957.42,8.253163154318021E-4,4.665053287889119E-5
2014-09-22,8146.3,8159.9,8064.8,1.05507265E8,5710.43,0.003055126778901814,1.3742875810511787E-4
2014-09-23,8017.55,8159.75,8008.1,1.40780912E8,7947.61,-0.015930947515386325,3.519376676990142E-4
2014-09-24,8002.4,8042.05,7950.05,1.82208501E8,7981.87,-0.0018913922348600097,1.3238361451081273E-4
2014-09-25,7911.85,8019.3,7877.35,2.31899016E8,11692.69,-0.011379861092122126,3.1896471849781873E-4
2014-09-26,7968.85,7993.3,7841.8,1.47835866E8,8247.78,0.007178555702857498,3.6615935912498324E-4
2014-09-29,7958.9,7991.75,7934.7,9.7267975E7,5089.35,-0.0012493919473012323,5.132595500772501E-5
2014-09-30,7964.8,8030.9,7923.85,1.41142071E8,7467.66,7.410338388679577E-4,1.8008036494964917E-4
2014-10-01,7945.55,7977.5,7936.7,1.12997913E8,5979.61,-0.002419809670203699,2.6291332469500155E-5
2014-10-07,7852.4,7943.05,7842.7,1.48199508E8,7982.75,-0.01179280596919085,1.6165010995070512E-4
2014-10-08,7842.7,7869.9,7815.75,1.35914083E8,7408.61,-0.001236054722173975,4.767111647588962E-5
2014-10-09,7960.55,7972.35,7886.5,1.23767811E8,6797.45,0.014914930117128791,1.1722107294658662E-4
2014-10-10,7859.95,7924.05,7848.45,1.42926893E8,8473.9,-0.012717847848969429,9.18986564285315E-5
